number,initial_weight,treatment,experiment,final_weight,status,Total_Leaf_Area,Consumed_Leaf_Area ,Percent_Consumed
74,0.003,Bean,intercropping,0.0027,dead,1.788,0.049,2.752
75,0.0042,Bean,intercropping,0.0028,dead,1.714,0.052,3.033
76,0.0065,Bean,intercropping,0.006,dead,1.779,0.09,5.062
77,0.0056,Bean,intercropping,0.0048,dead,1.738,0.037,2.149
78,0.0051,Bean,intercropping,0.0045,dead,1.669,0.065,3.918
79,0.0056,Bean,intercropping,0.0053,dead,1.773,0.014,0.797
80,0.0038,Bean,intercropping,0.0027,dead,1.754,0.01,0.592
81,0.0068,Control,intercropping,0.0051,dead,1.722,0.08,4.661
82,0.0051,Control,intercropping,0.0055,alive,1.709,0.161,9.392
83,0.0036,Control,intercropping,0.0032,alive,1.768,0.099,5.606
84,0.0039,Control,intercropping,0.0025,dead,1.714,0.051,2.952
85,0.004,Control,intercropping,0.0042,alive,1.641,0.21,12.782
86,0.0042,Control,intercropping,0.0053,alive,1.748,0.503,28.794
87,0.0046,Control,intercropping,0.00367,dead,1.811,0.112,6.191
88,0.006,Control,intercropping,0.0056,dead,1.691,0.074,4.374
89,0.0048,Control,intercropping,0.0035,dead,1.705,0.017,0.991
90,0.0063,Control,intercropping,0.0094,alive,1.686,1.686,100
91,0.0028,Control,intercropping,0.0024,alive,1.714,0.08,4.69
92,0.0038,Control,intercropping,0.0032,alive,1.79,0.154,8.588
93,0.0045,Control,intercropping,0.005,alive,1.693,0.048,2.856
94,0.0046,Control,intercropping,0.0078,alive,1.709,0.749,43.814
95,0.0028,Control,intercropping,0.0037,alive,1.787,0.11,6.135
96,0.0037,Control,intercropping,0.003,alive,1.78,0.067,3.763
97,0.0033,Control,intercropping,0.0019,dead,1.739,0.047,2.709
98,0.0043,Control,intercropping,0.0031,dead,1.745,0.061,3.518
99,0.0038,Control,intercropping,0.0049,alive,1.797,0.321,17.877
100,0.0031,Control,intercropping,0.0026,alive,1.743,0.076,4.333
101,0.0026,Control,plant-soil feedback,,dead,,,
102,0.003,Control,plant-soil feedback,,dead,,,
103,0.0029,Control,plant-soil feedback,,dead,,,
104,0.004,Control,plant-soil feedback,,dead,,,
105,0.0043,Control,plant-soil feedback,,dead,,,
106,0.0029,Control,plant-soil feedback,,dead,,,
107,0.0027,Control,plant-soil feedback,,dead,,,
108,0.0047,Control,plant-soil feedback,,dead,,,
109,0.004,Control,plant-soil feedback,,dead,,,
110,0.0026,Control,plant-soil feedback,,dead,,,
111,0.0027,Control,plant-soil feedback,,dead,,,
112,0.0048,Control,plant-soil feedback,,dead,,,
113,0.0028,Control,plant-soil feedback,,dead,,,
114,0.0027,Control,plant-soil feedback,,dead,,,
115,0.0037,Control,plant-soil feedback,,dead,,,
116,0.004,Control,plant-soil feedback,,dead,,,
117,0.004,Control,plant-soil feedback,,dead,,,
118,0.005,Control,plant-soil feedback,,dead,,,
119,0.0049,Control,plant-soil feedback,,dead,,,
120,0.0027,Control,plant-soil feedback,,dead,,,
121,0.0041,Alfalfa,plant-soil feedback,,dead,,,
122,0.0042,Alfalfa,plant-soil feedback,,dead,,,
123,0.0046,Alfalfa,plant-soil feedback,,dead,,,
124,0.003,Alfalfa,plant-soil feedback,,dead,,,
125,0.0028,Alfalfa,plant-soil feedback,,dead,,,
126,0.0032,Alfalfa,plant-soil feedback,,dead,,,
127,0.0076,Alfalfa,plant-soil feedback,,dead,,,
128,0.0032,Alfalfa,plant-soil feedback,,dead,,,
129,0.0066,Alfalfa,plant-soil feedback,,dead,,,
130,0.0029,Alfalfa,plant-soil feedback,,dead,,,
131,0.0045,Alfalfa,plant-soil feedback,,dead,,,
132,0.0015,Alfalfa,plant-soil feedback,,dead,,,
133,0.0055,Alfalfa,plant-soil feedback,,dead,,,
134,0.0021,Alfalfa,plant-soil feedback,,dead,,,
135,0.0019,Alfalfa,plant-soil feedback,,dead,,,
136,0.0049,Alfalfa,plant-soil feedback,,dead,,,
137,0.0027,Alfalfa,plant-soil feedback,,dead,,,
138,0.0057,Alfalfa,plant-soil feedback,,dead,,,
139,0.0057,Alfalfa,plant-soil feedback,,dead,,,
140,0.003,Alfalfa,plant-soil feedback,,dead,,,
141,0.0042,Red Clover,plant-soil feedback,,dead,,,
142,0.0052,Red Clover,plant-soil feedback,,dead,,,
143,0.0094,Red Clover,plant-soil feedback,0.009,alive,,,
144,0.0056,Red Clover,plant-soil feedback,,dead,,,
145,0.0045,Red Clover,plant-soil feedback,,dead,,,
146,0.0064,Red Clover,plant-soil feedback,,dead,,,
147,0.0059,Red Clover,plant-soil feedback,,dead,,,
148,0.0057,Red Clover,plant-soil feedback,,dead,,,
149,0.0045,Red Clover,plant-soil feedback,,dead,,,
150,0.0088,Red Clover,plant-soil feedback,,dead,,,
151,0.0049,Red Clover,plant-soil feedback,,dead,,,
152,0.0062,Red Clover,plant-soil feedback,,alive,,,
153,0.0052,Red Clover,plant-soil feedback,0.006,dead,,,
154,0.0047,Red Clover,plant-soil feedback,,dead,,,
155,0.0036,Red Clover,plant-soil feedback,,dead,,,
156,0.0057,Red Clover,plant-soil feedback,,dead,,,
157,0.0022,Red Clover,plant-soil feedback,,dead,,,
158,0.005,Red Clover,plant-soil feedback,,dead,,,
159,0.0035,Red Clover,plant-soil feedback,,dead,,,
160,0.0045,Red Clover,plant-soil feedback,,dead,,,
161,0.0045,Bean,plant-soil feedback,,dead,,,
162,0.004,Bean,plant-soil feedback,,dead,,,
163,0.0034,Bean,plant-soil feedback,,dead,,,
164,0.0046,Bean,plant-soil feedback,,dead,,,
165,0.0074,Bean,plant-soil feedback,,dead,,,
166,0.0034,Bean,plant-soil feedback,,dead,,,
167,0.0057,Bean,plant-soil feedback,,dead,,,
