ID,Location,Notes,Reviewer
SOS19,Colombia,,AC
,-,Book Chapter-Review,AC
SOT10,Mexico,,AC
,-,Off topic,AC
SOU11,Brazil,,AC
SOU07,Brazil,,AC
SOU10,Brazil,,AC
SOU15,Brazil,,AC
,-,Off topic,AC
,Review,Review,AC
,-,Off topic,AC
,-,Not in neotropics,AC
,-,Not in neotropics,AC
,-,Book,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
TAR18,Colombia,,AC
,-,Off topic,AC
,-,could not have access to the full text. Off topic from abstract,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
TON19,Brazil,,AC
TON11,Brazil,,AC
TON17,Brazil,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,No control,AC
,-,Off topic,AC
,Review,Review,AC
TOR11,Mexico,,AC
TOR09,Brazil,,AC
,-,No control,AC
TRE21,Mexico,,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
,-,Off topic,AC
UGU14,Argentina,,AC
,- ,Off topic,AC
,- ,No control,AC
,- ,Not in neotropics,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,No control,AC
VAL12,Colombia,,AC
VAL10,Colombia,,AC
,- ,Off topic,AC
,- ,Off topic,AC
VAN20,Brazil,,AC
VAN17,Brazil,,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Review (book chapter),AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
VAS20,Peru,,AC
VAS21,Peru,,AC
,- ,Off topic,AC
VAZ20,Colombia,,AC
VAZ98,Argentina,could not have access to the full text,AC
VEG13,Cuba,,AC
,- ,No control,AC
VEG16,Cuba,,AC
,- ,Of topic,AC
VEL19,Colombia,,AC
,- ,No control,AC
,Review,Review (Campos et al 2011 within),AC
VER10,Brazil,,AC
VER17,Colombia,,AC
VER21,Brazil,,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
VIE20,Brazil,,AC
VIE21,Brazil,,AC
,- ,Off topic,AC
VIE19,Brazil,,AC
,- ,Off topic,AC
,- ,Book,AC
VIL16_1,Mexico,,AC
VIL14_1,Mexico,,AC
VIL15,Mexico,,AC
VIL16_2,Mexico,,AC
VIL14_2,Mexico,,AC
,- ,No control,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
VIL15,Cuba,,AC
,- ,Off topic,AC
VIR20,Argentina,,AC
,- ,Not in neotropics,AC
WAT16,Brazil,,AC
WEB19,Nicaragua,,AC
,- ,Off topic,AC
WIC08,Brazil,,AC
WIC00,Brazil,,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Off topic,AC
XAV14,Brazil,,AC
,- ,Not in neotropics,AC
,- ,Not in neotropics,AC
YAM07,Nicaragua,,AC
,Review,,AC
,- ,Off topic,AC
ZAM21,Brasil,,AC
,- ,Off topic,AC
,- ,Off topic,AC
,- ,Book,AC
